INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../pipeline/tb_inference.cpp in release mode
   Generating csim.exe
  [  0] label=7  pred=7  OK
  [  1] label=2  pred=2  OK
  [  2] label=1  pred=1  OK
  [  3] label=0  pred=0  OK
  [  4] label=4  pred=4  OK
  [  5] label=1  pred=1  OK
  [  6] label=4  pred=4  OK
  [  7] label=9  pred=9  OK
  [  8] label=5  pred=5  OK
  [  9] label=9  pred=9  OK
  [ 10] label=0  pred=0  OK
  [ 11] label=6  pred=6  OK
  [ 12] label=9  pred=9  OK
  [ 13] label=0  pred=0  OK
  [ 14] label=1  pred=1  OK
  [ 15] label=5  pred=5  OK
  [ 16] label=9  pred=4  FAIL
  [ 17] label=7  pred=7  OK
  [ 18] label=3  pred=3  OK
  [ 19] label=4  pred=4  OK
  [ 20] label=9  pred=9  OK
  [ 21] label=6  pred=6  OK
  [ 22] label=6  pred=6  OK
  [ 23] label=5  pred=5  OK
  [ 24] label=4  pred=4  OK
  [ 25] label=0  pred=0  OK
  [ 26] label=7  pred=7  OK
  [ 27] label=4  pred=4  OK
  [ 28] label=0  pred=0  OK
  [ 29] label=1  pred=1  OK
  [ 30] label=3  pred=3  OK
  [ 31] label=1  pred=1  OK
  [ 32] label=3  pred=3  OK
  [ 33] label=4  pred=4  OK
  [ 34] label=7  pred=7  OK
  [ 35] label=2  pred=2  OK
  [ 36] label=7  pred=7  OK
  [ 37] label=1  pred=1  OK
  [ 38] label=2  pred=2  OK
  [ 39] label=1  pred=1  OK
  [ 40] label=1  pred=1  OK
  [ 41] label=7  pred=7  OK
  [ 42] label=4  pred=4  OK
  [ 43] label=2  pred=2  OK
  [ 44] label=3  pred=3  OK
  [ 45] label=5  pred=5  OK
  [ 46] label=1  pred=1  OK
  [ 47] label=2  pred=6  FAIL
  [ 48] label=4  pred=4  OK
  [ 49] label=4  pred=4  OK
  [ 50] label=6  pred=6  OK
  [ 51] label=3  pred=3  OK
  [ 52] label=5  pred=5  OK
  [ 53] label=5  pred=5  OK
  [ 54] label=6  pred=6  OK
  [ 55] label=0  pred=0  OK
  [ 56] label=4  pred=4  OK
  [ 57] label=1  pred=1  OK
  [ 58] label=9  pred=9  OK
  [ 59] label=5  pred=5  OK
  [ 60] label=7  pred=7  OK
  [ 61] label=8  pred=8  OK
  [ 62] label=9  pred=5  FAIL
  [ 63] label=3  pred=3  OK
  [ 64] label=7  pred=7  OK
  [ 65] label=4  pred=4  OK
  [ 66] label=6  pred=6  OK
  [ 67] label=4  pred=4  OK
  [ 68] label=3  pred=3  OK
  [ 69] label=0  pred=0  OK
  [ 70] label=7  pred=7  OK
  [ 71] label=0  pred=0  OK
  [ 72] label=2  pred=2  OK
  [ 73] label=9  pred=9  OK
  [ 74] label=1  pred=1  OK
  [ 75] label=7  pred=7  OK
  [ 76] label=3  pred=3  OK
  [ 77] label=2  pred=7  FAIL
  [ 78] label=9  pred=9  OK
  [ 79] label=7  pred=7  OK
  [ 80] label=7  pred=7  OK
  [ 81] label=6  pred=6  OK
  [ 82] label=2  pred=2  OK
  [ 83] label=7  pred=7  OK
  [ 84] label=8  pred=4  FAIL
  [ 85] label=4  pred=4  OK
  [ 86] label=7  pred=7  OK
  [ 87] label=3  pred=3  OK
  [ 88] label=6  pred=6  OK
  [ 89] label=1  pred=1  OK
  [ 90] label=3  pred=3  OK
  [ 91] label=6  pred=6  OK
  [ 92] label=9  pred=4  FAIL
  [ 93] label=3  pred=3  OK
  [ 94] label=1  pred=1  OK
  [ 95] label=4  pred=4  OK
  [ 96] label=1  pred=1  OK
  [ 97] label=7  pred=7  OK
  [ 98] label=6  pred=6  OK
  [ 99] label=9  pred=9  OK

=== Accuracy: 94/100 = 94.00% ===
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
